name,popularity
google-storage-plugin,1741
build-notifications,1735
template-project,1696
pipeline-cps-http,1691
pollscm,1671
pipeline-config-history,1667
templating-engine,1661
downstream-ext,1649
custom-folder-icon,1648
scoring-load-balancer,1643
test-results-aggregator,1642
codesonar,1636
vstestrunner,1635
scm-sync-configuration,1626
sqlplus-script-runner,1609
sloccount,1604
any-buildstep,1596
artifact-promotion,1591
azure-cli,1585
clearcase,1574
repository,1570
groovy-label-assignment,1564
summary_report,1560
multiselect-parameter,1554
gitlab-kubernetes-credentials,1549
azure-keyvault,1548
nant,1544
instant-messaging,1543
sonar-gerrit,1533
github-pr-coverage-status,1528
windows-azure-storage,1517
disable-job-button,1509
modernstatus,1509
aws-codebuild,1501
jobcacher,1461
aws-bucket-credentials,1457
readonly-parameters,1448
hp-application-automation-tools-plugin,1445
slack-uploader,1440
dockerhub-notification,1434
ownership,1417
update-sites-manager,1417
github-scm-trait-notification-context,1416
mysql-api,1401
declarative-pipeline-migration-assistant,1399
veracode-scan,1393
google-compute-engine,1392
synopsys-coverity,1392
dependencyanalyzer,1388
azure-vm-agents,1387
gerrit-code-review,1384
gradle-repo,1382
github-scm-trait-commit-skip,1372
sonarqube-generic-coverage,1372
compress-artifacts,1371
tap,1371
all-changes,1358
svn-workspace-cleaner,1358
sauce-ondemand,1357
scmskip,1341
inline-pipeline,1339
build-keeper-plugin,1328
database-postgresql,1321
filesystem_scm,1318
buildgraph-view,1312
label-linked-jobs,1310
changes-since-last-success,1309
toolenv,1296
gogs-webhook,1288
copy-project-link,1284
aws-secrets-manager-secret-source,1283
skip-notifications-trait,1278
JiraTestResultReporter,1276
aws-parameter-store,1270
postgresql-api,1269
packer,1267
aws-codepipeline,1254
bitbucket-scm-trait-commit-skip,1253
doxygen,1253
jira-ext,1250
yet-another-docker-plugin,1241
external-workspace-manager,1240
gravatar,1240
progress-bar-column-plugin,1240
ftppublisher,1237
project-build-times,1231
jqs-monitoring,1230
shared-workspace,1227
logfilesizechecker,1207
gitbucket,1196
maven-deployment-linker,1195
xvnc,1188
TestComplete,1185
multibranch-action-triggers,1180
qtest,1177
selenium,1172
jobgenerator,1167
perfpublisher,1164
content-replace,1149
anything-goes-formatter,1142
scm-filter-branch-pr,1140
configuration-as-code-secret-ssm,1138
poll-mailbox-trigger-plugin,1138
dynamic-axis,1137
create-fingerprint,1134
jobcopy-builder,1121
flaky-test-handler,1120
testInProgress,1095
maven-snapshot-check,1093
global-post-script,1091
cucumber-trends-report,1087
stash-pullrequest-builder,1086
build-cause-run-condition,1071
markdown-formatter,1062
build-time-blame,1054
build-history-manager,1048
zap,1043
windows-exe-runner,1041
google-container-registry-auth,1040
google-kubernetes-engine,1036
parallel-test-executor,1033
change-assembly-version-plugin,1032
changelog-history,1029
openshift-sync,1019
rocketchatnotifier,1018
awseb-deployment-plugin,1017
pagerduty,1017
hipchat,1013
disable-github-multibranch-status,1012
ignore-committer-strategy,1009
test-stability,1009
rake,1003
custom-checkbox-parameter,1002
cloudfoundry,989
http-post,981
cucumber-perf,976
display-console-output,973
scoverage,971
pipeline-global-lib-nexus,970
github-issues,969
compress-buildlog,963
copy-data-to-workspace-plugin,953
editable-choice,946
xframe-filter-plugin,944
gitea-checks,939
simple-parameterized-builds-report,927
audit-log,922
jdepend,920
telegram-notifications,920
openid4java,918
emma,916
anchore-container-scanner,909
bitbucket-filter-project-trait,899
unleash,898
scalable-amazon-ecs,895
dingding-json-pusher,890
cas-plugin,886
pipeline-maven-database,885
docker-traceability,883
nexus-task-runner,875
simple-build-for-pipeline,871
block-queued-job,864
cloverphp,863
matrix-groovy-execution-strategy,863
upload-pgyer,861
redmine,854
openshift-login,850
nodenamecolumn,845
heavy-job,842
report-info,821
bulk-builder,812
export-params,809
Exclusion,805
xshell,805
docker-swarm,804
statusmonitor,804
elastic-axis,802
bitbucket-approve,800
promoted-builds-simple,795
oidc-provider,793
terminate-ssh-processes-plugin,793
appcenter,792
violation-comments-to-stash,791
radiatorviewplugin,789
android-signing,788
openstack-cloud,786
rundeck,784
winrm-client,782
pegdown-formatter,774
zapper,774
svn-revert-plugin,773
flyway-runner,771
exclusive-execution,770
mina-sshd-api-sftp,764
sitemonitor,762
groovy-remote,758
violation-comments-to-github,755
jenkinswalldisplay,754
multi-slave-config-plugin,754
batch-task,753
build-symlink,750
doclinks,749
ant-in-workspace,747
run-selector,746
shared-objects,744
job-parameter-summary,738
percentage-du-node-column,734
aliyun-oss-uploader,733
teamconcert,733
fortify-on-demand-uploader,728
klocwork,728
matrix-reloaded,720
conjur-credentials,710
cucumber-slack-notifier,705
notify-events,702
antexec,701
bootstraped-multi-test-results-report,700
katalon,697
random-string-parameter,694
custom-view-tabs,692
gcloud-sdk,691
flyway-api,690
newrelic-deployment-notifier,685
checkmarx-ast-scanner,680
pipeline-dependency-walker,679
job-exporter,677
file-leak-detector,676
hudson-pview-plugin,675
systemloadaverage-monitor,671
build-view-column,670
favorite-view,670
valgrind,670
multi-module-tests-publisher,669
mission-control-view,667
gcp-secrets-manager-credentials-provider,665
aqua-security-scanner,663
html5-notifier-plugin,663
github-branch-pr-change-filter,660
read-only-configurations,660
files-found-trigger,659
enhanced-old-build-discarder,657
commons-math3-api,654
emotional-jenkins-plugin,650
environment-dashboard,648
gerrit-verify-status-reporter,647
metrics-diskusage,637
select2-api,635
additional-metrics,634
collapsing-console-sections,632
octopusdeploy,624
kerberos-sso,623
oracle-cloud-infrastructure-compute,622
miniorange-two-factor,621
AnchorChain,618
deployit-plugin,616
pipeline-as-yaml,616
rabbitmq-consumer,616
weblogic-deployer-plugin,615
custom-job-icon,605
google-source-plugin,604
image-gallery,602
cygpath,593
tm4j-automation,589
rubyMetrics,588
azure-app-service,585
lucene-search,585
openid,584
project-inheritance,584
zap-pipeline,577
dropdown-viewstabbar-plugin,569
extra-tool-installers,566
log-file-filter,566
aws-codecommit-jobs,565
simple-queue,564
cloudbees-jenkins-advisor,562
statistics-gatherer,559
configure-job-column-plugin,553
openshift-pipeline,551
maven-release-cascade,549
aws-device-farm,546
publish-to-bitbucket,543
uptime,542
display-upstream-changes,534
bitbucket-pullrequests-filter,531
svnmerge,531
jira-integration,525
customize-build-now,516
ivytrigger,514
outbound-webhook,514
slave-utilization-plugin,513
job-poll-action-plugin,512
gradle-daemon,511
description-column-plugin,510
fitnesse,507
cucumber-living-documentation,506
call-remote-job-plugin,500
phing,500
liquibase-runner,498
minio,498
pipeline-deploymon,497
parasoft-findings,494
bitbucket-scm-filter-aged-refs,489
secure-requester-whitelist,489
soapui-pro-functional-testing,481
codecommit-url-helper,480
redeploy-rancher2-workload,478
unique-id,476
azure-credentials-ext,472
consul-kv-builder,471
concurrent-step,468
jclouds-jenkins,466
jenkins-cloudformation-plugin,464
gerrit-checks-api,459
build-env-propagator,455
hsts-filter-plugin,455
kotlin-v1-stdlib-jdk8,454
tracking-svn,454
azure-container-agents,450
mesos,446
pipeline-input-notification,446
sumologic-publisher,445
customized-build-message,444
gatling-check,444
jgiven,444
createjobadvanced,443
git-userContent,437
testcomplete-xunit,437
git-chooser-alternative,436
scm2job,434
patch-parameter,433
console-tail,432
testlink,432
console-badge,431
labelled-steps,430
bitbucket-approval-filter,428
global-pre-script,428
dynamic-search-view,425
bitbucket-scm-filter-jira-validator,424
github-label-filter,424
logging,424
jenkinslint,423
