Plugin,Repository,URL,Has_JDK25,JDK25_Commit_SHA,JDK25_Commit_Date,JDK25_PR_Number,JDK25_PR_URL,Is_Merged,Jenkinsfile_URL,Has_Jenkinsfile
Extended Choice Parameter Plugin,jenkinsci/extended-choice-parameter-plugin,https://github.com/jenkinsci/extended-choice-parameter-plugin,false,,,,,false,https://raw.githubusercontent.com/jenkinsci/extended-choice-parameter-plugin/main/Jenkinsfile,true
Extended Read Permission Plugin,jenkinsci/extended-read-permission-plugin,https://github.com/jenkinsci/extended-read-permission-plugin,true,61681d7b63ca30a92091546777b4645bb0d1c6a8,2025-11-18T05:41:09Z,35,https://github.com/jenkinsci/extended-read-permission-plugin/pull/35,true,https://raw.githubusercontent.com/jenkinsci/extended-read-permission-plugin/main/Jenkinsfile,true
External Monitor Job Plugin,jenkinsci/external-monitor-job-plugin,https://github.com/jenkinsci/external-monitor-job-plugin,false,,,,,false,https://raw.githubusercontent.com/jenkinsci/external-monitor-job-plugin/master/Jenkinsfile,true
Favorite Plugin,jenkinsci/favorite-plugin,https://github.com/jenkinsci/favorite-plugin,true,abf28587f1014bb150b00dd484011f382348c7f0,2025-10-26T11:19:08Z,229,https://github.com/jenkinsci/favorite-plugin/pull/229,true,https://raw.githubusercontent.com/jenkinsci/favorite-plugin/master/Jenkinsfile,true
Font Awesome Api Plugin,jenkinsci/font-awesome-api-plugin,https://github.com/jenkinsci/font-awesome-api-plugin,true,055fc986fb749de9e895d21d65cf7de6e07e8769,2025-10-26T11:19:08Z,366,https://github.com/jenkinsci/font-awesome-api-plugin/pull/366,true,https://raw.githubusercontent.com/jenkinsci/font-awesome-api-plugin/main/Jenkinsfile,true
Forensics Api Plugin,jenkinsci/forensics-api-plugin,https://github.com/jenkinsci/forensics-api-plugin,false,,,,,false,https://raw.githubusercontent.com/jenkinsci/forensics-api-plugin/main/Jenkinsfile,true
Generic Webhook Trigger Plugin,jenkinsci/generic-webhook-trigger-plugin,https://github.com/jenkinsci/generic-webhook-trigger-plugin,true,4c0b8adc09f465054640e19ec03446f1d38f2f8c,2025-10-26T11:34:42Z,381,https://github.com/jenkinsci/generic-webhook-trigger-plugin/pull/381,true,https://raw.githubusercontent.com/jenkinsci/generic-webhook-trigger-plugin/master/Jenkinsfile,true
Git Client Plugin,jenkinsci/git-client-plugin,https://github.com/jenkinsci/git-client-plugin,true,ce504cf627d49515a0e20fb9871afe3b2113dac8,2025-10-25T14:56:42Z,1352,https://github.com/jenkinsci/git-client-plugin/pull/1352,true,https://raw.githubusercontent.com/jenkinsci/git-client-plugin/master/Jenkinsfile,true
Git Parameter Plugin,jenkinsci/git-parameter-plugin,https://github.com/jenkinsci/git-parameter-plugin,true,aa3301f283dac86021f3a9db955e95d0b87cf85a,2025-10-25T18:11:52Z,173,https://github.com/jenkinsci/git-parameter-plugin/pull/173,true,https://raw.githubusercontent.com/jenkinsci/git-parameter-plugin/master/Jenkinsfile,true
Git Plugin,jenkinsci/git-plugin,https://github.com/jenkinsci/git-plugin,true,1ed9f039ead68b659d390fe4d43de35edbd9c79b,2025-10-25T15:09:11Z,1826,https://github.com/jenkinsci/git-plugin/pull/1826,true,https://raw.githubusercontent.com/jenkinsci/git-plugin/master/Jenkinsfile,true
Git Server Plugin,jenkinsci/git-server-plugin,https://github.com/jenkinsci/git-server-plugin,false,,,,,false,https://raw.githubusercontent.com/jenkinsci/git-server-plugin/master/Jenkinsfile,true
Github Api Plugin,jenkinsci/github-api-plugin,https://github.com/jenkinsci/github-api-plugin,true,beb610326465aa0d9db5d6c3098e548626b98f48,2025-10-26T11:19:08Z,292,https://github.com/jenkinsci/github-api-plugin/pull/292,true,https://raw.githubusercontent.com/jenkinsci/github-api-plugin/master/Jenkinsfile,true
Github Branch Source Plugin,jenkinsci/github-branch-source-plugin,https://github.com/jenkinsci/github-branch-source-plugin,true,5e0079c1acde7bdab7e31185cfe3e32d12852b9f,2025-10-26T11:19:08Z,910,https://github.com/jenkinsci/github-branch-source-plugin/pull/910,true,https://raw.githubusercontent.com/jenkinsci/github-branch-source-plugin/master/Jenkinsfile,true
Github Plugin,jenkinsci/github-plugin,https://github.com/jenkinsci/github-plugin,false,,,,,false,https://raw.githubusercontent.com/jenkinsci/github-plugin/master/Jenkinsfile,true
Gitlab Api Plugin,jenkinsci/gitlab-api-plugin,https://github.com/jenkinsci/gitlab-api-plugin,true,14c6eae7809edbbfda09cf790c4ec00e372a0d31,2025-10-26T12:04:59Z,125,https://github.com/jenkinsci/gitlab-api-plugin/pull/125,true,https://raw.githubusercontent.com/jenkinsci/gitlab-api-plugin/master/Jenkinsfile,true
Gitlab Plugin,jenkinsci/gitlab-plugin,https://github.com/jenkinsci/gitlab-plugin,true,e04966165c70fee5e2d8226c7ec0190bdbce1dcd,2025-11-15T22:43:26Z,1835,https://github.com/jenkinsci/gitlab-plugin/pull/1835,true,https://raw.githubusercontent.com/jenkinsci/gitlab-plugin/master/Jenkinsfile,true
Gradle Plugin,jenkinsci/gradle-plugin,https://github.com/jenkinsci/gradle-plugin,false,,,,,false,https://raw.githubusercontent.com/jenkinsci/gradle-plugin/master/Jenkinsfile,true
Groovy Plugin,jenkinsci/groovy-plugin,https://github.com/jenkinsci/groovy-plugin,true,56643d755a1fb5352605d5f8666bcb34a3d1d38b,2025-11-15T20:59:34Z,101,https://github.com/jenkinsci/groovy-plugin/pull/101,true,https://raw.githubusercontent.com/jenkinsci/groovy-plugin/master/Jenkinsfile,true
Groovy Postbuild Plugin,jenkinsci/groovy-postbuild-plugin,https://github.com/jenkinsci/groovy-postbuild-plugin,true,355bc134a871ad74b86c876a744f6309329d4843,2025-10-25T18:09:58Z,116,https://github.com/jenkinsci/groovy-postbuild-plugin/pull/116,true,https://raw.githubusercontent.com/jenkinsci/groovy-postbuild-plugin/master/Jenkinsfile,true
Gson Api Plugin,jenkinsci/gson-api-plugin,https://github.com/jenkinsci/gson-api-plugin,true,7f2a2bb41eb737b07531e38ee67bd51f44138c1d,2025-08-09T08:49:50Z,87,https://github.com/jenkinsci/gson-api-plugin/pull/87,true,https://raw.githubusercontent.com/jenkinsci/gson-api-plugin/main/Jenkinsfile,true
H2 Api Plugin,jenkinsci/h2-api-plugin,https://github.com/jenkinsci/h2-api-plugin,true,c824d43e83914ca873717eccb6c5da01a08c8b3f,2025-10-26T18:46:31Z,54,https://github.com/jenkinsci/h2-api-plugin/pull/54,true,https://raw.githubusercontent.com/jenkinsci/h2-api-plugin/master/Jenkinsfile,true
