Plugin,Repository,URL,Has_Open_JDK25_PRs,Open_PRs_Count,Open_PR_Numbers,Open_PR_URLs,Has_Jenkinsfile
Extended Read Permission Plugin,jenkinsci/extended-read-permission-plugin,https://github.com/jenkinsci/extended-read-permission-plugin,false,0,"","",true
External Monitor Job Plugin,jenkinsci/external-monitor-job-plugin,https://github.com/jenkinsci/external-monitor-job-plugin,false,0,"","",true
Favorite Plugin,jenkinsci/favorite-plugin,https://github.com/jenkinsci/favorite-plugin,false,0,"","",true
Font Awesome Api Plugin,jenkinsci/font-awesome-api-plugin,https://github.com/jenkinsci/font-awesome-api-plugin,false,0,"","",true
Forensics Api Plugin,jenkinsci/forensics-api-plugin,https://github.com/jenkinsci/forensics-api-plugin,false,0,"","",true
Generic Webhook Trigger Plugin,jenkinsci/generic-webhook-trigger-plugin,https://github.com/jenkinsci/generic-webhook-trigger-plugin,false,0,"","",true
Git Client Plugin,jenkinsci/git-client-plugin,https://github.com/jenkinsci/git-client-plugin,false,0,"","",true
Git Parameter Plugin,jenkinsci/git-parameter-plugin,https://github.com/jenkinsci/git-parameter-plugin,false,0,"","",true
Git Plugin,jenkinsci/git-plugin,https://github.com/jenkinsci/git-plugin,false,0,"","",true
Git Server Plugin,jenkinsci/git-server-plugin,https://github.com/jenkinsci/git-server-plugin,false,0,"","",true
Github Api Plugin,jenkinsci/github-api-plugin,https://github.com/jenkinsci/github-api-plugin,false,0,"","",true
Github Branch Source Plugin,jenkinsci/github-branch-source-plugin,https://github.com/jenkinsci/github-branch-source-plugin,false,0,"","",true
Github Plugin,jenkinsci/github-plugin,https://github.com/jenkinsci/github-plugin,true,,"","",true
Gitlab Api Plugin,jenkinsci/gitlab-api-plugin,https://github.com/jenkinsci/gitlab-api-plugin,false,0,"","",true
Gitlab Plugin,jenkinsci/gitlab-plugin,https://github.com/jenkinsci/gitlab-plugin,false,0,"","",true
Gradle Plugin,jenkinsci/gradle-plugin,https://github.com/jenkinsci/gradle-plugin,false,0,"","",true
Groovy Plugin,jenkinsci/groovy-plugin,https://github.com/jenkinsci/groovy-plugin,false,0,"","",true
Groovy Postbuild Plugin,jenkinsci/groovy-postbuild-plugin,https://github.com/jenkinsci/groovy-postbuild-plugin,false,0,"","",true
Gson Api Plugin,jenkinsci/gson-api-plugin,https://github.com/jenkinsci/gson-api-plugin,false,0,"","",true
H2 Api Plugin,jenkinsci/h2-api-plugin,https://github.com/jenkinsci/h2-api-plugin,false,0,"","",true
