Plugin,Repository,URL,Has_JDK17,Has_JDK21,Has_JDK25,Jenkinsfile_URL,Has_Jenkinsfile
Amazon Ecs Plugin,jenkinsci/amazon-ecs-plugin,https://github.com/jenkinsci/amazon-ecs-plugin,true,true,false,https://raw.githubusercontent.com/jenkinsci/amazon-ecs-plugin/master/Jenkinsfile,true
Amazon Inspector Image Scanner Plugin,jenkinsci/amazon-inspector-image-scanner-plugin,https://github.com/jenkinsci/amazon-inspector-image-scanner-plugin,true,true,false,https://raw.githubusercontent.com/jenkinsci/amazon-inspector-image-scanner-plugin/main/Jenkinsfile,true
Amqp Build Trigger Plugin,jenkinsci/amqp-build-trigger-plugin,https://github.com/jenkinsci/amqp-build-trigger-plugin,false,false,false,https://raw.githubusercontent.com/jenkinsci/amqp-build-trigger-plugin/master/Jenkinsfile,true
Analysis Model Api Plugin,jenkinsci/analysis-model-api-plugin,https://github.com/jenkinsci/analysis-model-api-plugin,false,true,true,https://raw.githubusercontent.com/jenkinsci/analysis-model-api-plugin/main/Jenkinsfile,true
Anchor Chain Plugin,jenkinsci/anchor-chain-plugin,https://github.com/jenkinsci/anchor-chain-plugin,false,false,false,https://raw.githubusercontent.com/jenkinsci/anchor-chain-plugin/master/Jenkinsfile,false
Anchore Container Scanner Plugin,jenkinsci/anchore-container-scanner-plugin,https://github.com/jenkinsci/anchore-container-scanner-plugin,false,false,false,https://raw.githubusercontent.com/jenkinsci/anchore-container-scanner-plugin/master/Jenkinsfile,false
Android Apk Size Watcher Plugin,jenkinsci/android-apk-size-watcher-plugin,https://github.com/jenkinsci/android-apk-size-watcher-plugin,false,false,false,https://raw.githubusercontent.com/jenkinsci/android-apk-size-watcher-plugin/master/Jenkinsfile,false
Android Emulator Plugin,jenkinsci/android-emulator-plugin,https://github.com/jenkinsci/android-emulator-plugin,false,true,true,https://raw.githubusercontent.com/jenkinsci/android-emulator-plugin/master/Jenkinsfile,true
Android Signing Plugin,jenkinsci/android-signing-plugin,https://github.com/jenkinsci/android-signing-plugin,false,true,true,https://raw.githubusercontent.com/jenkinsci/android-signing-plugin/master/Jenkinsfile,true
Anka Build Plugin,jenkinsci/anka-build-plugin,https://github.com/jenkinsci/anka-build-plugin,false,false,false,https://raw.githubusercontent.com/jenkinsci/anka-build-plugin/master/Jenkinsfile,true
Ansible Plugin,jenkinsci/ansible-plugin,https://github.com/jenkinsci/ansible-plugin,false,true,true,https://raw.githubusercontent.com/jenkinsci/ansible-plugin/main/Jenkinsfile,true
Ansible Tower Plugin,jenkinsci/ansible-tower-plugin,https://github.com/jenkinsci/ansible-tower-plugin,false,false,false,https://raw.githubusercontent.com/jenkinsci/ansible-tower-plugin/master/Jenkinsfile,true
Ansicolor Plugin,jenkinsci/ansicolor-plugin,https://github.com/jenkinsci/ansicolor-plugin,false,true,true,https://raw.githubusercontent.com/jenkinsci/ansicolor-plugin/master/Jenkinsfile,true
Ant In Workspace Plugin,jenkinsci/ant-in-workspace-plugin,https://github.com/jenkinsci/ant-in-workspace-plugin,true,true,false,https://raw.githubusercontent.com/jenkinsci/ant-in-workspace-plugin/master/Jenkinsfile,true
Ant Plugin,jenkinsci/ant-plugin,https://github.com/jenkinsci/ant-plugin,false,true,true,https://raw.githubusercontent.com/jenkinsci/ant-plugin/master/Jenkinsfile,true
Antexec Plugin,jenkinsci/antexec-plugin,https://github.com/jenkinsci/antexec-plugin,true,true,false,https://raw.githubusercontent.com/jenkinsci/antexec-plugin/main/Jenkinsfile,true
Antisamy Markup Formatter Plugin,jenkinsci/antisamy-markup-formatter-plugin,https://github.com/jenkinsci/antisamy-markup-formatter-plugin,false,true,true,https://raw.githubusercontent.com/jenkinsci/antisamy-markup-formatter-plugin/master/Jenkinsfile,true
Any Buildstep Plugin,jenkinsci/any-buildstep-plugin,https://github.com/jenkinsci/any-buildstep-plugin,true,false,false,https://raw.githubusercontent.com/jenkinsci/any-buildstep-plugin/master/Jenkinsfile,true
Anything Goes Formatter Plugin,jenkinsci/anything-goes-formatter-plugin,https://github.com/jenkinsci/anything-goes-formatter-plugin,true,false,false,https://raw.githubusercontent.com/jenkinsci/anything-goes-formatter-plugin/master/Jenkinsfile,true
Apache Httpcomponents Client 4 Api Plugin,jenkinsci/apache-httpcomponents-client-4-api-plugin,https://github.com/jenkinsci/apache-httpcomponents-client-4-api-plugin,false,true,true,https://raw.githubusercontent.com/jenkinsci/apache-httpcomponents-client-4-api-plugin/master/Jenkinsfile,true
Apache Httpcomponents Client 5 Api Plugin,jenkinsci/apache-httpcomponents-client-5-api-plugin,https://github.com/jenkinsci/apache-httpcomponents-client-5-api-plugin,false,true,true,https://raw.githubusercontent.com/jenkinsci/apache-httpcomponents-client-5-api-plugin/main/Jenkinsfile,true
Apifortress Plugin,jenkinsci/apifortress-plugin,https://github.com/jenkinsci/apifortress-plugin,false,false,false,https://raw.githubusercontent.com/jenkinsci/apifortress-plugin/master/Jenkinsfile,false
Apimap Plugin,jenkinsci/apimap-plugin,https://github.com/jenkinsci/apimap-plugin,true,false,false,https://raw.githubusercontent.com/jenkinsci/apimap-plugin/main/Jenkinsfile,true
App Detector Plugin,jenkinsci/app-detector-plugin,https://github.com/jenkinsci/app-detector-plugin,false,false,false,https://raw.githubusercontent.com/jenkinsci/app-detector-plugin/master/Jenkinsfile,false
Appaloosa Plugin,jenkinsci/appaloosa-plugin,https://github.com/jenkinsci/appaloosa-plugin,false,false,false,https://raw.githubusercontent.com/jenkinsci/appaloosa-plugin/master/Jenkinsfile,false
Appcenter Plugin,jenkinsci/appcenter-plugin,https://github.com/jenkinsci/appcenter-plugin,false,false,false,https://raw.githubusercontent.com/jenkinsci/appcenter-plugin/master/Jenkinsfile,true
Appcircle Enterprise App Store Plugin,jenkinsci/appcircle-enterprise-app-store-plugin,https://github.com/jenkinsci/appcircle-enterprise-app-store-plugin,true,true,false,https://raw.githubusercontent.com/jenkinsci/appcircle-enterprise-app-store-plugin/master/Jenkinsfile,true
